coordinates;color;speed_limit;current_speed
[(8.740101, 45.9987773), (8.740124, 45.9987647), (8.7401554, 45.9987603), (8.7402026, 45.9987688), (8.7404739, 45.99885), (8.7405305, 45.9988816)];green;50;28.0
[(8.7430362, 45.9997302), (8.7431792, 45.9997843), (8.7432413, 45.9998078)];green;50;28.0
[(8.7495035, 45.9816485), (8.749473, 45.9818834), (8.7494722, 45.9824856), (8.7494737, 45.9827706), (8.7494738, 45.9827933)];green;50;59.0
[(8.7494591, 45.9829206), (8.7494351, 45.9829162), (8.7494163, 45.9829089), (8.7494008, 45.9828991), (8.7493908, 45.9828895), (8.7493805, 45.9828715), (8.74938, 45.9828444), (8.7493955, 45.9828198), (8.7494197, 45.9828037), (8.7494408, 45.9827966), (8.7494738, 45.9827933)];green;50;58.0
[(8.7466538, 45.9994076), (8.7467063, 45.9991882), (8.7467732, 45.9989812), (8.7468335, 45.9988865), (8.7468501, 45.9988604), (8.7469933, 45.9986974), (8.7472099, 45.9985083), (8.7473593, 45.9984139)];green;50;27.0
[(8.7494555, 45.9839187), (8.7494624, 45.9840577), (8.7494933, 45.9841856)];green;50;59.0
[(8.7500544, 45.9849279), (8.7500792, 45.9849552), (8.7501489, 45.985044), (8.7501795, 45.9850831)];green;50;50.0
[(8.7474198, 45.9912427), (8.7476491, 45.9911396)];green;50;50.0
[(8.7476491, 45.9911396), (8.7475802, 45.9912181), (8.7475116, 45.9912764), (8.747493, 45.9912923)];green;50;52.0
[(8.7486381, 45.9975466), (8.748137, 45.9978915), (8.748048, 45.9979488), (8.7479544, 45.9980132)];green;50;26.0
[(8.7462224, 46.0002481), (8.7464229, 46.0000718), (8.746499, 45.9999861), (8.7465185, 45.99996), (8.7465397, 45.9999244), (8.7465574, 45.9998838), (8.7466091, 45.9996185), (8.7466205, 45.9995485), (8.7466279, 45.9995174), (8.7466538, 45.9994076)];green;30;27.0
[(8.7437923, 45.9934698), (8.7438876, 45.9932209), (8.7440928, 45.992945), (8.7444194, 45.992506), (8.7446442, 45.9921967), (8.7447642, 45.9920886), (8.7448212, 45.9920557), (8.7448435, 45.9920428)];green;50;52.0
[(8.7524666, 45.996131), (8.7524036, 45.9961713), (8.7522525, 45.996234), (8.7521529, 45.9962754), (8.751809, 45.996314), (8.7507267, 45.9964805), (8.7502746, 45.9965934), (8.7499679, 45.9967176), (8.749892, 45.9967484), (8.7488684, 45.9973938), (8.7488278, 45.9974196), (8.7487385, 45.9974765), (8.7486854, 45.9975136), (8.7486381, 45.9975466)];green;50;36.0
[(8.7535735, 45.9954387), (8.7534379, 45.9955257), (8.7533924, 45.9955505), (8.7533039, 45.9956101), (8.752909, 45.9959007), (8.7524666, 45.996131)];green;50;36.0
[(8.7417451, 45.9949606), (8.7417165, 45.9950172), (8.7417009, 45.9950789), (8.7416917, 45.9951622)];green;50;34.0
