coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.8584613, 46.1727915), (8.8579725, 46.1730235), (8.857541, 46.1732176), (8.857116, 46.1733979), (8.856744, 46.1735495), (8.8563009, 46.1737198)];100;93;93;93;93
[(8.8404761, 46.1796463), (8.8348169, 46.1821702), (8.8322098, 46.1828499), (8.8165671, 46.1856409), (8.8122112, 46.1856261), (8.8090757, 46.185341), (8.8075898, 46.1850588), (8.8060261, 46.184693), (8.8050068, 46.1843476), (8.8041431, 46.1839891), (8.8035745, 46.1836939), (8.7976927, 46.1799724), (8.7930442, 46.1757638), (8.7927491, 46.1753849), (8.7917674, 46.1735304), (8.791668, 46.1733008), (8.7896378, 46.1686119), (8.7890048, 46.1676311), (8.7872857, 46.1657623)];80;80;80;80;80
[(8.7792263, 46.1612947), (8.7786686, 46.1612629), (8.7781162, 46.1612552), (8.7773337, 46.1613152), (8.7767869, 46.1614108), (8.7755885, 46.1616682), (8.7754945, 46.1616899), (8.7754353, 46.1617062), (8.7753581, 46.1617323), (8.775298, 46.1617557)];60;74;74;74;74
[(8.7729701, 46.1657444), (8.772973, 46.165696), (8.7729988, 46.1656509), (8.7730344, 46.1656205), (8.7730806, 46.1655977), (8.7731338, 46.1655843), (8.7731926, 46.1655815), (8.7732502, 46.1655901), (8.7733021, 46.1656094), (8.7733349, 46.1656303), (8.7733606, 46.1656555), (8.773378, 46.1656839), (8.7733864, 46.1657142), (8.7733853, 46.165745), (8.7733749, 46.165775), (8.7733481, 46.1658104), (8.7733084, 46.1658394), (8.7732587, 46.1658598), (8.7732005, 46.1658702), (8.7731404, 46.1658687), (8.7730877, 46.165857), (8.7730413, 46.165836), (8.7730045, 46.1658074), (8.772982, 46.1657773), (8.7729701, 46.1657444)];50;40;40;40;40
[(8.7781379, 46.1697761), (8.7781073, 46.1697288), (8.7779851, 46.1695916), (8.777952, 46.1695493)];50;38;38;38;38
[(8.7532109, 46.1859171), (8.7531861, 46.1859153), (8.7531547, 46.1859096), (8.7531167, 46.1858994), (8.7528768, 46.1858182), (8.7527816, 46.1857712), (8.7527335, 46.1857421), (8.7527201, 46.1857331), (8.7526955, 46.1857139), (8.7526723, 46.1856889), (8.7526482, 46.1856569), (8.7526302, 46.185621), (8.7526201, 46.1855877), (8.7526161, 46.1855566), (8.7526157, 46.1855233), (8.7526224, 46.1854758), (8.7526351, 46.1854393), (8.7526547, 46.1854056), (8.7526782, 46.1853761), (8.7527184, 46.1853424), (8.7527879, 46.1852921), (8.7529712, 46.185162), (8.7530823, 46.1850706), (8.7532304, 46.1849333), (8.7533594, 46.1847265), (8.7534813, 46.184581), (8.7536677, 46.1844354), (8.7539998, 46.1842948), (8.7541789, 46.1842187), (8.7547093, 46.1838912), (8.7549124, 46.1837407), (8.755266, 46.183347), (8.7561214, 46.1825298), (8.7563388, 46.1823627), (8.756592, 46.1822205), (8.7572634, 46.1819972), (8.7574211, 46.1819128), (8.7582238, 46.1812974), (8.758404, 46.1811353), (8.7591962, 46.1802734), (8.7593515, 46.1801328), (8.7595068, 46.1800419), (8.7601041, 46.1797904), (8.7604697, 46.1796117), (8.7609595, 46.1793371), (8.7612438, 46.1791287), (8.761736, 46.1786407), (8.7623246, 46.1779592), (8.7624796, 46.1777982), (8.7632268, 46.177304), (8.7635278, 46.1770658), (8.7638697, 46.1766918), (8.7643449, 46.1760946)];60;50;50;50;50
[(8.7911438, 46.1668159), (8.7913041, 46.1667981), (8.7914793, 46.1668033), (8.7915271, 46.1668084), (8.7915921, 46.1668168), (8.7917565, 46.1668568), (8.7918295, 46.1668746), (8.7921881, 46.16703), (8.7924055, 46.1671165)];50;33;33;33;33
[(8.7847108, 46.1632466), (8.7848325, 46.1632802), (8.7865515, 46.1639724), (8.7870411, 46.1641721), (8.7874902, 46.1643587), (8.7888499, 46.1649358), (8.7890289, 46.1649955)];80;74;74;74;74
[(8.8014789, 46.1684302), (8.801448, 46.1684002), (8.801411, 46.1683795), (8.8013664, 46.1683656), (8.8013172, 46.1683559), (8.8012797, 46.1683489), (8.800742, 46.1682492)];50;43;43;43;43
[(8.7941581, 46.1666458), (8.7941803, 46.1667087), (8.7941929, 46.1667785), (8.7941956, 46.1668425)];50;33;33;33;33
[(8.8010728, 46.1690763), (8.800865, 46.1695199), (8.8007706, 46.1697499), (8.800704, 46.1699222), (8.8006568, 46.170082), (8.8006429, 46.1701482), (8.8005927, 46.1702804)];50;43;43;43;43
[(8.8130317, 46.1764501), (8.8128577, 46.176343), (8.8128289, 46.1763263), (8.8125657, 46.1761799), (8.8124734, 46.1761318), (8.8123903, 46.1760886), (8.8122124, 46.1760067), (8.8119783, 46.1759176), (8.811889, 46.1758845), (8.8118666, 46.1758762), (8.8116949, 46.175812), (8.811433, 46.175714), (8.8114023, 46.175702), (8.811368, 46.1756887), (8.8108894, 46.1755019), (8.8107488, 46.1754471), (8.8105213, 46.1753681), (8.8099363, 46.175154), (8.8094147, 46.1749661), (8.8090564, 46.1748596), (8.8086028, 46.1747343), (8.8084544, 46.1747005), (8.8080297, 46.1746243), (8.807915, 46.1745964), (8.8066138, 46.174384), (8.8064769, 46.1743617), (8.8063288, 46.174341)];50;37;37;37;37
[(8.8014096, 46.1735224), (8.8013516, 46.1735121), (8.8013361, 46.1735094), (8.8009719, 46.1734448), (8.8009106, 46.1734345), (8.7999592, 46.173278), (8.7994183, 46.1731853), (8.7993066, 46.1731657), (8.7992077, 46.1731357)];50;31;31;31;31
[(8.7992077, 46.1731357), (8.7991534, 46.1731039), (8.7990964, 46.1730538), (8.7980843, 46.1718795)];30;31;31;31;31
[(8.6062594, 46.3448594), (8.6060265, 46.3451059), (8.6060113, 46.3451356), (8.6060039, 46.3451627), (8.6060088, 46.3451884), (8.60603, 46.3452112), (8.6060602, 46.3452278), (8.6060976, 46.3452367), (8.606135, 46.3452389), (8.6061686, 46.3452348), (8.606204, 46.3452248), (8.606237, 46.3452028), (8.6062905, 46.3451595), (8.60643, 46.3450442), (8.606608, 46.3448789), (8.6066863, 46.3448238), (8.6067464, 46.3447928)];50;31;31;31;31
[(8.9183089, 46.1302201), (8.9182708, 46.1301726), (8.91823, 46.1301363), (8.9181861, 46.1301021), (8.9181439, 46.1300743), (8.9180982, 46.1300507), (8.9180449, 46.1300287), (8.9179884, 46.1300105), (8.9179307, 46.1299974), (8.9178601, 46.1299876), (8.9177954, 46.1299831), (8.9177337, 46.1299836), (8.9176662, 46.1299894), (8.9175904, 46.1300023), (8.9175275, 46.1300191), (8.9174676, 46.1300407), (8.9174156, 46.1300642), (8.9173672, 46.1300925), (8.9173284, 46.1301192), (8.9172908, 46.1301539), (8.9172654, 46.1301799), (8.9172369, 46.1302158), (8.9172156, 46.1302517), (8.9171995, 46.1302863), (8.9171869, 46.1303254), (8.9171811, 46.1303671), (8.9171802, 46.1304101), (8.9171856, 46.130454), (8.9171948, 46.130495), (8.9172124, 46.1305401), (8.9172331, 46.1305851), (8.9172587, 46.1306256)];40;42;42;42;42
[(8.7339129, 46.1761933), (8.7338605, 46.1761918), (8.7336782, 46.1761867), (8.7334462, 46.1761811), (8.7331606, 46.1761978), (8.7321312, 46.1763398), (8.7290612, 46.1767602), (8.7277185, 46.1769417), (8.7275945, 46.1769519), (8.7274677, 46.1769554), (8.727014, 46.1769534), (8.7268407, 46.1769729), (8.7260038, 46.1771193), (8.7259179, 46.1771276), (8.7257768, 46.1771352), (8.7254959, 46.1771349), (8.7246484, 46.177111), (8.723987, 46.1771056), (8.7237045, 46.1771076), (8.7235326, 46.1771105), (8.7230514, 46.1771437), (8.7225773, 46.1771802), (8.7222434, 46.1771963), (8.72146, 46.1772124), (8.7213234, 46.17721), (8.7211964, 46.1771976), (8.7210777, 46.1771702), (8.7205146, 46.1770022), (8.7204471, 46.1769874), (8.7203861, 46.1769769)];80;59;59;59;59
[(8.733949, 46.176132), (8.7339863, 46.1761106), (8.7340314, 46.1760985), (8.7340798, 46.1760971), (8.7341263, 46.1761066), (8.734166, 46.1761258), (8.7341946, 46.1761529), (8.7342097, 46.1761874), (8.7342067, 46.1762234), (8.734186, 46.1762566), (8.7341501, 46.1762827), (8.7341033, 46.1762987), (8.7340682, 46.1763027), (8.7340327, 46.1763008), (8.7339988, 46.1762932), (8.7339686, 46.1762802), (8.7339436, 46.1762626), (8.7339254, 46.1762414), (8.733915, 46.1762179), (8.7339129, 46.1761933), (8.7339237, 46.1761606), (8.733949, 46.176132)];80;59;59;59;59
[(8.7751942, 46.1609832), (8.7751689, 46.161124), (8.7751242, 46.1615133)];50;74;74;74;74
